Gene_names,log2FoldChange,padj
gene-HMPREF1261_RS05700,3.12342410332479,0
gene-HMPREF1261_RS06405,2.59395785984505,7.50326834691796E-186
gene-HMPREF1261_RS12460,2.50965746571181,7.06023893137108E-146
gene-HMPREF1261_RS05770,2.50432369115136,2.2845792080329E-202
gene-HMPREF1261_RS07655,2.48404191113628,1.2598165622567E-219
gene-HMPREF1261_RS04405,2.47946620144846,1.56053726404423E-251
gene-HMPREF1261_RS04415,2.20809534123829,1.41875365264515E-93
gene-HMPREF1261_RS04400,2.20273753380489,1.77117917866007E-38
gene-HMPREF1261_RS04920,2.16013223246626,1.80582449670008E-05
gene-HMPREF1261_RS04410,2.15795368629018,1.56742703337097E-173
gene-HMPREF1261_RS06390,2.15595322534569,3.82243329545583E-125
gene-HMPREF1261_RS08415,2.09658743293436,4.6655522099099E-177
gene-HMPREF1261_RS06410,1.98136151320987,1.32524475262686E-24
gene-HMPREF1261_RS06480,1.97592660182994,1.00813498954204E-214
gene-HMPREF1261_RS09175,1.96850199690923,9.53257422784869E-56
gene-HMPREF1261_RS03280,1.93221810213395,1.76050049369778E-108
gene-HMPREF1261_RS04420,1.78859455581107,6.34641494634149E-27
gene-HMPREF1261_RS12600,1.75517629597249,0.015417525319395
gene-HMPREF1261_RS09605,1.72915173538787,7.32289978215573E-71
gene-HMPREF1261_RS13270,1.72666627790498,2.53937336766875E-17
gene-HMPREF1261_RS13035,1.67792369713725,4.67548191450553E-10
gene-HMPREF1261_RS07440,1.67646521111059,6.06079451883544E-85
gene-HMPREF1261_RS06475,1.65309280094471,6.1339953043363E-90
gene-HMPREF1261_RS00170,1.62020843364675,3.43572418554952E-31
gene-HMPREF1261_RS06470,1.57460633855295,2.1622430830454E-90
gene-HMPREF1261_RS03155,1.57225010650762,6.47997958321972E-05
gene-HMPREF1261_RS12465,1.53787439716705,1.13588646853558E-44
gene-HMPREF1261_RS05265,1.52796732212338,3.94420643457286E-82
gene-HMPREF1261_RS00035,1.522313545824,1.92367288168885E-33
gene-HMPREF1261_RS06375,1.51405478558523,6.36738509320832E-50
gene-HMPREF1261_RS06415,1.5100452502309,2.70020611691883E-56
gene-HMPREF1261_RS06460,1.48072190354296,7.51082660459395E-22
gene-HMPREF1261_RS08105,1.4698144675134,8.39936811673874E-58
gene-HMPREF1261_RS09610,1.44544223890462,2.88866061403902E-31
gene-HMPREF1261_RS05260,1.43578510263352,3.01947115385007E-39
gene-HMPREF1261_RS08620,1.42956545107751,4.72004875441103E-60
gene-HMPREF1261_RS06465,1.42477149459307,3.65922459074139E-55
gene-HMPREF1261_RS03110,1.39325070743602,9.65010799782593E-31
gene-HMPREF1261_RS03930,1.39300800601601,1.16565103567194E-28
gene-HMPREF1261_RS11850,1.38937038431146,2.49529891271825E-19
gene-HMPREF1261_RS05425,1.37632712109776,1.43228309076898E-54
gene-HMPREF1261_RS06835,1.35650487892873,1.5602254775359E-43
gene-HMPREF1261_RS01515,1.34049673272407,1.1228163988861E-11
gene-HMPREF1261_RS01430,1.33481014219371,7.43528971075387E-15
gene-HMPREF1261_RS03745,1.32584428491273,1.45311131189441E-51
gene-HMPREF1261_RS00275,1.32218078762461,2.26644231453033E-92
gene-HMPREF1261_RS04760,1.32000926974389,6.32395292248172E-24
gene-HMPREF1261_RS09180,1.31129092508986,5.75189513834607E-50
gene-HMPREF1261_RS11340,1.28497823458334,9.19453076223278E-80
gene-HMPREF1261_RS09895,1.28383232919981,3.49545359836946E-53
gene-HMPREF1261_RS08260,1.25466803774831,2.27253095547518E-60
gene-HMPREF1261_RS06275,1.24141184634005,4.56256841077479E-58
gene-HMPREF1261_RS03925,1.23810997741963,4.11388984454262E-41
gene-HMPREF1261_RS02680,1.23648140006079,4.81992696367212E-14
gene-HMPREF1261_RS06965,1.2305198748986,0.067558403747077
gene-HMPREF1261_RS05335,1.22413233408773,3.04183416823593E-27
gene-HMPREF1261_RS03595,1.22240980692016,1.45282803140052E-29
gene-HMPREF1261_RS02665,1.22010765062602,1.83868039032167E-26
gene-HMPREF1261_RS06045,1.21977812724593,1.71254126277224E-45
gene-HMPREF1261_RS12175,1.21848224758466,3.23710150552953E-21
gene-HMPREF1261_RS06420,1.21707697250412,2.04709286069158E-44
gene-HMPREF1261_RS12875,1.20852196127073,4.46938933032714E-23
gene-HMPREF1261_RS09190,1.20801423335015,1.36128929020503E-43
gene-HMPREF1261_RS06215,1.20705190936322,1.31243951700338E-23
gene-HMPREF1261_RS12470,1.20270969522028,4.15613282273844E-51
gene-HMPREF1261_RS01510,1.20013791266437,1.42386230949454E-22
gene-HMPREF1261_RS12985,1.19815070670951,0.00331347629146
gene-HMPREF1261_RS07330,1.19366574546051,1.39217487184889E-33
gene-HMPREF1261_RS04230,1.18530382138552,5.58670315551535E-43
gene-HMPREF1261_RS07445,1.18530267956432,4.20982790656537E-45
gene-HMPREF1261_RS08335,1.18162867906626,9.35368175344446E-18
gene-HMPREF1261_RS02675,1.18139588474931,1.04053015543322E-11
gene-HMPREF1261_RS07335,1.17318811441393,4.7670617792647E-32
gene-HMPREF1261_RS05340,1.14695162600983,8.75007136565276E-22
gene-HMPREF1261_RS00195,1.14519593472308,2.97587750325469E-13
gene-HMPREF1261_RS04940,1.14218504917835,0.000246269755503
gene-HMPREF1261_RS09615,1.14095857068993,5.66509289827218E-07
gene-HMPREF1261_RS09125,1.12353689293469,1.37341777532844E-21
gene-HMPREF1261_RS08895,1.1226235174857,4.51208148752195E-24
gene-HMPREF1261_RS08215,1.10899771558285,3.93137541552958E-33
gene-HMPREF1261_RS07210,1.1045224688257,1.02792543321701E-63
gene-HMPREF1261_RS03195,1.09944686135259,9.12811135473555E-29
gene-HMPREF1261_RS01050,1.0986241653193,4.29517341027171E-25
gene-HMPREF1261_RS13200,1.09719066871285,0.273035272970459
gene-HMPREF1261_RS13110,1.09682602820494,0.255228701008741
gene-HMPREF1261_RS12070,1.09060997458832,1.29574087609039E-44
gene-HMPREF1261_RS05330,1.08355803765578,1.95153762023662E-20
gene-HMPREF1261_RS00925,1.0796877166999,1.41654060667133E-44
gene-HMPREF1261_RS09395,1.07963502638394,6.03019315273806E-35
gene-HMPREF1261_RS05785,1.07431979830691,6.30835013730913E-53
gene-HMPREF1261_RS00895,1.07237297086782,4.03053301649526E-45
gene-HMPREF1261_RS00440,1.06717661482169,1.31700465183665E-44
gene-HMPREF1261_RS10735,1.05874079946082,4.29562375996054E-54
gene-HMPREF1261_RS13135,1.05848050826605,2.18332268614496E-23
gene-HMPREF1261_RS00165,1.05403629213161,3.75694567793891E-39
gene-HMPREF1261_RS08590,1.05295742067227,2.84303382098245E-44
gene-HMPREF1261_RS06665,1.0529573548864,1.59253607884718E-14
gene-HMPREF1261_RS07130,1.04802884248292,1.14615320840153E-21
gene-HMPREF1261_RS07430,1.04689307015938,4.91402216433553E-11
gene-HMPREF1261_RS03450,1.04307605361032,1.11032433722991E-29
gene-HMPREF1261_RS03960,1.03912240028604,1.72396554122751E-18
gene-HMPREF1261_RS11425,1.03292211333779,1.41849913088952E-29
gene-HMPREF1261_RS04085,1.0276486869619,2.01815946385592E-14
gene-HMPREF1261_RS12990,1.0272238341052,3.65333399754688E-12
gene-HMPREF1261_RS08890,1.02620729979897,3.75388951901648E-49
gene-HMPREF1261_RS05165,1.02572928095664,1.28234281450218E-33
gene-HMPREF1261_RS10950,1.02528133863111,0.005230719670534
gene-HMPREF1261_RS07010,1.02204319774193,7.83215952288289E-09
gene-HMPREF1261_RS07065,1.02065626486315,3.0864487558451E-07
gene-HMPREF1261_RS06280,1.01869430033535,3.40363095883297E-26
gene-HMPREF1261_RS05270,1.01790438587043,2.14322532438801E-18
gene-HMPREF1261_RS09120,1.01136076240043,1.47244430245325E-37
gene-HMPREF1261_RS01040,1.00897385600109,2.06856793695086E-32
gene-HMPREF1261_RS05595,1.00048223238439,2.11024755399348E-31
gene-HMPREF1261_RS09385,0.999341686034986,8.19733034433008E-05
gene-HMPREF1261_RS06270,0.994243647105911,5.61060329868423E-50
gene-HMPREF1261_RS01465,0.992863662824283,3.79340231250544E-18
gene-HMPREF1261_RS01385,0.985289682154047,3.74443794749231E-41
gene-HMPREF1261_RS05245,0.98444532567501,8.32884110127207E-17
gene-HMPREF1261_RS09400,0.981552044687156,4.66786161207951E-16
gene-HMPREF1261_RS08300,0.981538586900119,4.45593711752902E-48
gene-HMPREF1261_RS09635,0.980406544597552,1.38780148835067E-14
gene-HMPREF1261_RS03755,0.977348393010582,2.24793818371596E-32
gene-HMPREF1261_RS07515,0.974482812368827,3.99334579931229E-41
gene-HMPREF1261_RS08885,0.972910548063581,3.5733036837477E-45
gene-HMPREF1261_RS10625,0.972451758645056,0.438926282361567
gene-HMPREF1261_RS12095,0.971431055857703,1.66285693148668E-21
gene-HMPREF1261_RS09440,0.971075010676465,5.83196473519342E-17
gene-HMPREF1261_RS13175,0.966782869743405,1.61468934721101E-13
gene-HMPREF1261_RS04665,0.96672712957757,0.481054053255329
gene-HMPREF1261_RS13040,0.964185017803914,0.012264836474694
gene-HMPREF1261_RS08355,0.961830057428716,1.3651793457075E-40
gene-HMPREF1261_RS13065,0.954778669786128,1.20774287722087E-10
gene-HMPREF1261_RS13315,0.953407006421267,0.170710181195135
gene-HMPREF1261_RS09405,0.949617003709859,3.50727510745308E-05
gene-HMPREF1261_RS10165,0.948797484656636,2.32679160185293E-16
gene-HMPREF1261_RS04725,0.946738360834435,2.66504226931455E-05
gene-HMPREF1261_RS02900,0.946498254436769,4.09482865100922E-28
gene-HMPREF1261_RS10690,0.944908619099073,1.06287585161531E-30
gene-HMPREF1261_RS00280,0.939959539898569,3.65481991685417E-25
gene-HMPREF1261_RS09525,0.939008927635744,3.4285131339953E-32
gene-HMPREF1261_RS06050,0.938733095242679,0.45338865037009
gene-HMPREF1261_RS04080,0.934264731357867,1.12696702102341E-16
gene-HMPREF1261_RS01005,0.932924903218785,2.19249787157682E-06
gene-HMPREF1261_RS03000,0.93283599865885,5.52503350460374E-15
gene-HMPREF1261_RS04805,0.93279320373108,0.416264020814808
gene-HMPREF1261_RS12780,0.928706699468488,0.009047743265572
gene-HMPREF1261_RS04050,0.928393452141514,2.09014870703532E-24
gene-HMPREF1261_RS09435,0.927897776656994,5.69884378129474E-21
gene-HMPREF1261_RS07950,0.924087794089878,1.01581180624724E-11
gene-HMPREF1261_RS09185,0.92286150033746,4.25412580019522E-19
gene-HMPREF1261_RS06945,0.922770179430535,1.06153664440453E-06
gene-HMPREF1261_RS04735,0.922590622683471,0.000111135565839
gene-HMPREF1261_RS04770,0.92207106755473,2.3969194527825E-20
gene-HMPREF1261_RS01590,0.914527891656088,4.67926119227315E-33
gene-HMPREF1261_RS08445,0.910562550219446,0.514315504456941
gene-HMPREF1261_RS05930,0.90897777201616,1.4940606264112E-34
gene-HMPREF1261_RS08375,0.908831147361981,8.3889198392979E-28
gene-HMPREF1261_RS06550,0.90821576542589,1.33890722195492E-24
gene-HMPREF1261_RS11410,0.907186082833311,3.35487569040945E-21
gene-HMPREF1261_RS05250,0.907148858497453,1.39230113289219E-08
gene-HMPREF1261_RS12815,0.902264895499922,6.91395364701555E-23
gene-HMPREF1261_RS05155,0.900042995382047,1.08943203753507E-24
gene-HMPREF1261_RS02485,0.895351007105818,5.13785232420611E-09
gene-HMPREF1261_RS07520,0.893294309936566,3.96214748733375E-11
gene-HMPREF1261_RS08440,0.892371291803447,0.650689967555923
gene-HMPREF1261_RS06580,0.888678771885922,2.55809193781003E-07
gene-HMPREF1261_RS03220,0.887710021123529,1.27563890291574E-18
gene-HMPREF1261_RS13140,0.887173214610323,1.86804959961815E-16
gene-HMPREF1261_RS05350,0.88031549863189,3.08025707913605E-31
gene-HMPREF1261_RS09500,0.8798086109515,1.83349222661792E-21
gene-HMPREF1261_RS12810,0.87856619997302,0.007773642334089
gene-HMPREF1261_RS06830,0.876441506893,9.33056868100037E-20
gene-HMPREF1261_RS05510,0.87350200372842,1.40037405843591E-22
gene-HMPREF1261_RS06005,0.869018970944901,8.93618356191912E-19
gene-HMPREF1261_RS10875,0.867903668866178,6.57943154467683E-10
gene-HMPREF1261_RS09495,0.866315803531549,1.52533558644131E-16
gene-HMPREF1261_RS12945,0.86545048605146,2.41587529445376E-06
gene-HMPREF1261_RS03480,0.863272438124763,8.13945338213507E-06
gene-HMPREF1261_RS00610,0.862073480956849,1.40037405843591E-22
gene-HMPREF1261_RS05200,0.860479385843231,3.37963103825443E-29
gene-HMPREF1261_RS12920,0.860293040505438,5.18232790494959E-10
gene-HMPREF1261_RS11490,0.85884513358231,2.75349045718483E-14
gene-HMPREF1261_RS02990,0.858760237067831,7.11586193755295E-18
gene-HMPREF1261_RS05705,0.857411532866365,6.36284107626965E-17
gene-HMPREF1261_RS10405,0.852635578758025,6.05638939212081E-33
gene-HMPREF1261_RS06365,0.852084581594067,1.93434373439166E-11
gene-HMPREF1261_RS13235,0.850280343299426,0.455475041266814
gene-HMPREF1261_RS09375,0.846869038706453,3.01939872882871E-11
gene-HMPREF1261_RS11445,0.842096712601794,6.1953317278573E-07
gene-HMPREF1261_RS00840,0.839905107594029,1.29189931411607E-12
gene-HMPREF1261_RS03305,0.839701912443567,3.98859725360737E-06
gene-HMPREF1261_RS12900,0.839257920920111,3.63874146435429E-17
gene-HMPREF1261_RS12100,0.839224334895984,1.05779660046509E-16
gene-HMPREF1261_RS05490,0.837519429553635,8.34352973747299E-18
gene-HMPREF1261_RS01170,0.836024671275205,1.39877565606939E-10
gene-HMPREF1261_RS12215,0.834017286365739,4.84595664638096E-08
gene-HMPREF1261_RS10670,0.833087242576104,8.18715810892817E-07
gene-HMPREF1261_RS08290,0.82912748713237,0.143428770755203
gene-HMPREF1261_RS10780,0.828784437156822,0.021701412718719
gene-HMPREF1261_RS10855,0.826624427742826,1.60001767654225E-15
gene-HMPREF1261_RS06370,0.825872575443495,2.17812422143596E-08
gene-HMPREF1261_RS11130,0.824673797691145,3.02020012164461E-11
gene-HMPREF1261_RS05840,0.823721193714599,9.57159339232974E-27
gene-HMPREF1261_RS03710,0.822834067650173,1.05149870616931E-10
gene-HMPREF1261_RS11815,0.819479268805541,0.026472967038778
gene-HMPREF1261_RS01200,0.818607704887338,1.07602036130874E-15
gene-HMPREF1261_RS01680,0.818358558718838,5.96670027068593E-23
gene-HMPREF1261_RS09505,0.818249791210473,2.4939522021943E-15
gene-HMPREF1261_RS13125,0.816558923984196,4.59384361156813E-08
gene-HMPREF1261_RS01240,0.814380230415402,1.20117378370329E-10
gene-HMPREF1261_RS10850,0.813556072491419,8.53821597619371E-22
gene-HMPREF1261_RS02720,0.813544139117161,3.49876005032099E-10
gene-HMPREF1261_RS06240,0.812262102715405,1.82335110183626E-09
gene-HMPREF1261_RS13280,0.811233122540962,1.55417994029659E-10
gene-HMPREF1261_RS12485,0.810864187174389,2.52499750258616E-09
gene-HMPREF1261_RS09115,0.810370978414275,3.7682574932219E-14
gene-HMPREF1261_RS09805,0.810175318783833,1.21522585778758E-16
gene-HMPREF1261_RS06810,0.810026574445174,1.50987416918381E-15
gene-HMPREF1261_RS03045,0.807402442957604,1.68303907034828E-14
gene-HMPREF1261_RS01410,0.806000478302406,1.77942333235639E-07
gene-HMPREF1261_RS10400,0.805572436670877,0.00178769135011
gene-HMPREF1261_RS08580,0.802622859583826,2.1215058540199E-19
gene-HMPREF1261_RS11780,0.802294022680911,7.01552790180712E-10
gene-HMPREF1261_RS12605,0.800704226892818,7.23707281447842E-09
gene-HMPREF1261_RS07575,0.798318373322388,9.8310864863745E-05
gene-HMPREF1261_RS13265,0.795894785625955,0.121670203299244
gene-HMPREF1261_RS09325,0.792773703810328,1.983639573055E-15
gene-HMPREF1261_RS04155,0.792085402259021,1.16450579437251E-11
gene-HMPREF1261_RS09855,0.791513488376184,3.66955586919179E-27
gene-HMPREF1261_RS05280,0.790784013291734,8.9920878270404E-21
gene-HMPREF1261_RS08275,0.790124035369154,2.8980908833479E-30
gene-HMPREF1261_RS03800,0.790102540564292,1.99951315863477E-23
gene-HMPREF1261_RS05895,0.789849879772928,6.1483056288182E-11
gene-HMPREF1261_RS11820,0.789311099925609,0.34434175782831
gene-HMPREF1261_RS03530,0.788053645419646,0.004645018016259
gene-HMPREF1261_RS02725,0.787116042103411,1.3275598168909E-24
gene-HMPREF1261_RS09240,0.78564373689049,5.62864711867409E-16
gene-HMPREF1261_RS02375,0.785594237004646,0.428846912803238
gene-HMPREF1261_RS06960,0.781677832401059,3.82727895820802E-06
gene-HMPREF1261_RS01905,0.781661314454852,3.82194464684021E-07
gene-HMPREF1261_RS06095,0.781265759149563,0.154656081732849
gene-HMPREF1261_RS10890,0.778122896761594,2.70596615471592E-12
gene-HMPREF1261_RS04815,0.777916608180452,2.62760697311945E-18
gene-HMPREF1261_RS04765,0.77720378883775,2.17696788973616E-13
gene-HMPREF1261_RS12760,0.776726689197915,1.30932946306908E-21
gene-HMPREF1261_RS02570,0.776511636426152,1.54760080959035E-12
gene-HMPREF1261_RS00995,0.775432516592373,4.59312685556434E-11
gene-HMPREF1261_RS10580,0.774600361398811,3.30138896608934E-19
gene-HMPREF1261_RS01035,0.773036046815079,2.0774946042942E-20
gene-HMPREF1261_RS02760,0.772348559109733,2.53621621333203E-12
gene-HMPREF1261_RS00040,0.771278471133986,0.664058414819762
gene-HMPREF1261_RS13115,0.770505057482186,0.067976160768916
gene-HMPREF1261_RS03070,0.769719097880868,5.98669788348158E-11
gene-HMPREF1261_RS11305,0.768867212033406,3.54614546549439E-17
gene-HMPREF1261_RS02845,0.768524881517673,0.001516722274984
gene-HMPREF1261_RS09320,0.767719802381641,2.06297760182412E-12
gene-HMPREF1261_RS06920,0.766971272449214,7.03816632055342E-09
gene-HMPREF1261_RS03705,0.762782211818168,3.29012483042346E-10
gene-HMPREF1261_RS03795,0.76214046809023,1.58987522242897E-14
gene-HMPREF1261_RS11205,0.761717967757373,0.061231351128018
gene-HMPREF1261_RS08860,0.761666122255967,1.17943920484019E-27
gene-HMPREF1261_RS12950,0.761606234014953,0.000648636677023
gene-HMPREF1261_RS09050,0.76032993322044,3.53720743008091E-23
gene-HMPREF1261_RS04200,0.760240504228346,2.1913184609056E-14
gene-HMPREF1261_RS01545,0.759365569551587,2.38854380904539E-10
gene-HMPREF1261_RS11875,0.758085767896578,2.93912844040508E-11
gene-HMPREF1261_RS07180,0.75763857485795,6.00277091741187E-07
gene-HMPREF1261_RS11700,0.75761278845124,0.04672439049976
gene-HMPREF1261_RS01195,0.754955020947843,3.43666977573002E-11
gene-HMPREF1261_RS01520,0.750256221275122,1.13416897912632E-07
gene-HMPREF1261_RS07995,0.749968969472788,2.19451681646701E-09
gene-HMPREF1261_RS08065,0.7493937555812,4.05221619824932E-11
gene-HMPREF1261_RS12440,0.747951708101972,1.75729882651759E-12
gene-HMPREF1261_RS05370,0.747858156054145,1.58396797561922E-10
gene-HMPREF1261_RS13260,0.745882303458416,0.335034128802465
gene-HMPREF1261_RS11980,0.744832633021686,3.59063881642243E-21
gene-HMPREF1261_RS01175,0.743439262823832,1.72969846483112E-23
gene-HMPREF1261_RS10885,0.743250481412649,0.000160858191999
gene-HMPREF1261_RS05240,0.742904880683726,2.45327294149366E-09
gene-HMPREF1261_RS08365,0.7428862577909,2.14710828525494E-20
gene-HMPREF1261_RS07965,0.742052291075904,0.087180168093724
gene-HMPREF1261_RS05060,0.741726417148637,6.51625231757595E-06
gene-HMPREF1261_RS09130,0.738820758679413,3.16963479504288E-19
gene-HMPREF1261_RS12520,0.73855195592034,4.25637679730992E-10
gene-HMPREF1261_RS05360,0.738501466319269,1.10021833634202E-10
gene-HMPREF1261_RS05235,0.736260389087719,4.41905409321797E-09
gene-HMPREF1261_RS03145,0.735622183930193,7.70658119266587E-11
gene-HMPREF1261_RS00505,0.734761403051607,5.51843154014513E-07
gene-HMPREF1261_RS10265,0.733259706830185,1.78055790863728E-17
gene-HMPREF1261_RS07930,0.730536632330239,5.74986433639943E-24
gene-HMPREF1261_RS12560,0.728581639308914,1.28054439895179E-10
gene-HMPREF1261_RS13130,0.727445133536835,1.24327792792572E-05
gene-HMPREF1261_RS02790,0.727398466314152,0.015294892836861
gene-HMPREF1261_RS00970,0.726171781941121,0.016356029944377
gene-HMPREF1261_RS08605,0.726071080669072,1.15187912341306E-11
gene-HMPREF1261_RS08340,0.725408606553312,1.49805637730737E-10
gene-HMPREF1261_RS12180,0.725114234766412,1.49502672102741E-07
gene-HMPREF1261_RS09350,0.723943837727785,1.54413714273058E-20
gene-HMPREF1261_RS00135,0.722194347986518,5.3014344007118E-11
gene-HMPREF1261_RS11075,0.717737816567714,0.03971454150866
gene-HMPREF1261_RS11315,0.716235027944386,1.09767865630967E-11
gene-HMPREF1261_RS05070,0.715681948547248,0.332766403222236
gene-HMPREF1261_RS08070,0.715230551677312,6.34594334706893E-18
gene-HMPREF1261_RS11155,0.712560627977515,1.42734853950698E-17
gene-HMPREF1261_RS11170,0.712558233718359,0.007116320026037
gene-HMPREF1261_RS02455,0.708668892666466,2.85436005955552E-11
gene-HMPREF1261_RS07070,0.706793873722835,3.10803761938037E-19
gene-HMPREF1261_RS07830,0.705363165332161,1.49670034781992E-12
gene-HMPREF1261_RS12320,0.705308296291843,1.44014840763849E-06
gene-HMPREF1261_RS12910,0.703706671328955,0.423515105448758
gene-HMPREF1261_RS00795,0.70333279535605,1.00369939104221E-15
gene-HMPREF1261_RS03885,0.700277382849188,4.8827280786295E-08
gene-HMPREF1261_RS09870,0.699563692443597,1.55309541894955E-09
gene-HMPREF1261_RS03310,0.698783872928375,3.72776457866714E-08
gene-HMPREF1261_RS06900,0.698232572711571,7.44966222924783E-11
gene-HMPREF1261_RS08120,0.693214482756771,1.96919307467447E-20
gene-HMPREF1261_RS05255,0.692115431497852,0.003996816507852
gene-HMPREF1261_RS05960,0.690759067414738,1.28054439895179E-10
gene-HMPREF1261_RS05160,0.687897196396202,2.25814355082097E-09
gene-HMPREF1261_RS13245,0.687244905161609,0.001639781984142
gene-HMPREF1261_RS00605,0.686161650055269,1.63575231542641E-10
gene-HMPREF1261_RS13275,0.684795273831225,0.056729020524469
gene-HMPREF1261_RS11160,0.683367931803063,0.335239848073702
gene-HMPREF1261_RS09955,0.682707398965933,1.42683846648611E-14
gene-HMPREF1261_RS12995,0.681757867117862,0.000682048543643
gene-HMPREF1261_RS01745,0.680619118200295,0.287292801825056
gene-HMPREF1261_RS11775,0.680302456993184,0.571262108604098
gene-HMPREF1261_RS06075,0.680094093943646,3.55146818012943E-15
gene-HMPREF1261_RS06340,0.679937204958854,1.72795869019971E-11
gene-HMPREF1261_RS11705,0.679640219447919,1.33076263893065E-14
gene-HMPREF1261_RS09225,0.673436987504504,8.5779746483603E-13
gene-HMPREF1261_RS06745,0.673051903644429,4.73956999394475E-18
gene-HMPREF1261_RS12185,0.671481320783973,0.051199235598694
gene-HMPREF1261_RS10750,0.669334341659247,0.366832846855014
gene-HMPREF1261_RS02915,0.668954046668941,5.76428372569802E-13
gene-HMPREF1261_RS03895,0.6668511796315,8.17928108461695E-06
gene-HMPREF1261_RS02985,0.665620011779074,0.00267085142375
gene-HMPREF1261_RS08525,0.665239204598824,4.52725293308549E-12
gene-HMPREF1261_RS13010,0.663694341955062,0.034150710423551
gene-HMPREF1261_RS11535,0.663405781983181,1.03063422139854E-13
gene-HMPREF1261_RS05275,0.663058784076934,1.84657643310966E-11
gene-HMPREF1261_RS02360,0.661799241885451,0.029827533629579
gene-HMPREF1261_RS02950,0.659086708343175,2.31792748248681E-18
gene-HMPREF1261_RS02345,0.658798052806372,0.06448707169921
gene-HMPREF1261_RS00975,0.658289610291472,0.081190720081035
gene-HMPREF1261_RS06515,0.657379781327055,0.641964954590833
gene-HMPREF1261_RS09290,0.655891609738654,3.57177830745378E-07
gene-HMPREF1261_RS05775,0.655269502185648,1.98745102480727E-18
gene-HMPREF1261_RS07535,0.652988763922812,3.05455111124501E-10
gene-HMPREF1261_RS10260,0.652613243498892,6.9728055238348E-13
gene-HMPREF1261_RS01320,0.65183340783494,1.45970505704501E-10
gene-HMPREF1261_RS12785,0.650650408454878,0.036002313574434
gene-HMPREF1261_RS07955,0.650334312443182,3.36935046789384E-06
gene-HMPREF1261_RS04730,0.649662677479106,0.004101099691333
gene-HMPREF1261_RS03720,0.648194627631777,0.005000402971355
gene-HMPREF1261_RS01985,0.647007562068821,0.000475479694742
gene-HMPREF1261_RS08835,0.646245924714498,1.26466375705234E-05
gene-HMPREF1261_RS03140,0.642927893330376,1.09767865630967E-11
gene-HMPREF1261_RS09010,0.640101626544984,1.59430846618679E-16
gene-HMPREF1261_RS04075,0.639250286238744,0.00048352184328
gene-HMPREF1261_RS03520,0.63803890197354,0.407157415903763
gene-HMPREF1261_RS09515,0.637336850646176,5.63643309105426E-11
gene-HMPREF1261_RS07095,0.636232581089854,4.54415827014636E-08
gene-HMPREF1261_RS09845,0.635612411221202,3.96542723672843E-07
gene-HMPREF1261_RS00785,0.634465140164697,0.555914459428952
gene-HMPREF1261_RS02850,0.634425633150598,2.05802637421521E-15
gene-HMPREF1261_RS02685,0.633136922089369,0.059843230081271
gene-HMPREF1261_RS10295,0.629897575943786,0.000133928368737
gene-HMPREF1261_RS02785,0.62935191465796,0.000587937317946
gene-HMPREF1261_RS10015,0.628613331721909,0.000622086553647
gene-HMPREF1261_RS03830,0.627639865943471,3.88112807765771E-06
gene-HMPREF1261_RS11890,0.627147771151928,1.69644522100062E-20
gene-HMPREF1261_RS06985,0.62311877234802,1.56372652352371E-16
gene-HMPREF1261_RS05575,0.622721185723319,4.96098424052242E-09
gene-HMPREF1261_RS09510,0.621438004337907,8.44977506266215E-15
