Sample,Species,Prev.
32644,CA,2.95454545454545
Bacteria bahiensis,CA,2.94117647058823
lake water metagenome,CA,2.89855072463768
Copepoda environmental sample,CA,2.85714285714286
gut metagenome,CA,2.68244669496952
algae metagenome,CA,2.61248185776488
vaginal metagenome,CA,2.52631578947368
Sus scrofa domesticus,CA,2.46913580246914
human blood metagenome,CA,2.38095238095238
lung metagenome,CA,2.36220472440945
marine metagenome,CA,2.31315775415353
fermentation metagenome,CA,2.26904376012966
Bacteria abnormis,CA,2.25988700564972
ant fungus garden metagenome,CA,2.24719101123596
uncultured prokaryote,CA,2.18204488778055
silage metagenome,CA,2.0997375328084
oral metagenome,CA,2.08333333333333
snow metagenome,CA,2.08333333333333
soil metagenome,CA,2.07552736391798
Firmicutes bacterium,CA,2.06611570247934
environmental samples,CA,2.06185567010309
Bacteria acuminatocercata,CA,2.04081632653061
stomach metagenome,CA,2.00617283950617
synthetic metagenome,CA,1.99430199430199
sediment metagenome,CA,1.95439739413681
food fermentation metagenome,CA,1.94862710363153
termite gut metagenome,CA,1.93548387096774
Equus caballus,CA,1.92307692307692
cow dung metagenome,CA,1.89873417721519
seawater metagenome,CA,1.86046511627907
uncultured organism,CA,1.8348623853211
organismal metagenomes,CA,1.81818181818182
mixed sample,CA,1.81818181818182
Oreochromis niloticus,CA,1.78571428571429
unclassified Bacteria (miscellaneous),CA,1.77777777777778
unidentified,CA,1.71037628278221
Macaca mulatta,CA,1.70454545454545
feces metagenome,CA,1.63127912998446
wastewater metagenome,CA,1.57048940832725
Coturnix japonica,CA,1.5625
eye metagenome,CA,1.5625
Jasus edwardsii,CA,1.53846153846154
fungus metagenome,CA,1.51898734177215
pig gut metagenome,CA,1.5185601799775
Canis lupus familiaris,CA,1.51515151515152
activated sludge metagenome,CA,1.51089248067463
human oral metagenome,CA,1.50136487716106
Oryctes borbonicus,CA,1.49253731343284
Mus musculus,CA,1.45343621029966
rhizosphere metagenome,CA,1.41292829388909
human vaginal metagenome,CA,1.41263940520446
hydrothermal vent metagenome,CA,1.40350877192982
food metagenome,CA,1.36857008022652
Bacteria ambigua,CA,1.31578947368421
bacterium,CA,1.30784708249497
compost metagenome,CA,1.30548302872063
unidentified bacterium,CA,1.27659574468085
sea squirt metagenome,CA,1.27388535031847
oyster metagenome,CA,1.25391849529781
biofilm metagenome,CA,1.25296308838469
sponge metagenome,CA,1.22511485451761
whole organism metagenome,CA,1.20481927710843
homo sapien,CA,1.18406889128095
Solanum tuberosum,CA,1.17647058823529
mouse skin metagenome,CA,1.16788321167883
Gulosus aristotelis,CA,1.14942528735632
rat gut metagenome,CA,1.12517580872011
endophyte metagenome,CA,1.12485939257593
food production metagenome,CA,1.06382978723404
Teleogryllus oceanicus,CA,1.06382978723404
Boechera stricta,CA,0.979591836734694
leaf metagenome,CA,0.97799511002445
human tracheal metagenome,CA,0.961538461538462
Gallus gallus,CA,0.886524822695036
human reproductive system metagenome,CA,0.87719298245614
Bos taurus,CA,0.873362445414847
freshwater sediment metagenome,CA,0.870147255689424
hydrocarbon metagenome,CA,0.856164383561644
Arabidopsis thaliana,CA,0.847756976333451
9606,CA,0.847457627118644
sludge metagenome,CA,0.831600831600832
mixed culture,CA,0.813008130081301
chicken gut metagenome,CA,0.775623268698061
soil crust metagenome,CA,0.757575757575758
bovine gut metagenome,CA,0.756964069438837
subsurface metagenome,CA,0.738916256157635
honeybee metagenome,CA,0.735294117647059
unidentified prokaryotic organism,CA,0.717703349282297
Ovis aries,CA,0.675675675675676
Bacteria aborigena,CA,0.666666666666667
Methanobacterium beijingense,CA,0.617283950617284
mouse gut metagenome,CA,0.603968938740293
pond metagenome,CA,0.591715976331361
riverine metagenome,CA,0.573065902578797
microbial mat metagenome,CA,0.555555555555556
bioreactor sludge metagenome,CA,0.55350553505535
estuary metagenome,CA,0.484261501210654
bioreactor metagenome,CA,0.462962962962963
mixed culture metagenome,CA,0.43859649122807
anaerobic digester metagenome,CA,0.435097897026831
aquifer metagenome,CA,0.421940928270042
1297885,CA,0.363636363636364
Triticum aestivum,CA,0.338600451467269
Rattus norvegicus,CA,0.244498777506112
leaf litter metagenome,CA,0.193050193050193
uncultured eukaryote,CA,0.140449438202247
Meleagris gallopavo,CA,0
Mycobacterium tuberculosis,CA,0
Pocillopora eydouxi,CA,0
Haploposthia lactomaculata,CA,0
Litopenaeus vannamei,CA,0
Cancer borealis,CM,29.0322580645161
Aphthona venustula,CM,0
Crioceris duodecimpunctata,CM,0
Centricnemus leucogrammus,CM,0
Arabidopsis,CM,0
Oenothera,CM,0
Rubus,CM,0
Punica granatum,CM,100
Cyamopsis tetragonoloba,CM,0
179.C.PMA,CM,0
Branchiostoma belcheri,CM,0
Candidatus Entotheonella sp.,CM,0
Daphnia obtusa,CM,0
Diospyros kaki,CM,0
Eublepharis macularius,CM,0
Gemmatimonas,CM,0
Rhipicephalus haemaphysaloides,CM,0
Skermanella,CM,0
Argoptochus quadrisignatus,CM,0
Bembidion modestum,CM,0
Crotalaria retusa,CM,0
Lantana,CM,0
human milk metagenome,CM,0
Lactobacillus crispatus,CM,0
Bembidion decorum,CM,0
Nepenthes rafflesiana,CM,0
Metrosideros polymorpha,CM,0
human nasal/pharyngeal metagenome,CM,0.666666666666667
Bembidion punctulatum,CM,0
Eusomus ovulum,CM,0
Aphodius depressus,CM,0
Onthophagus ruficapillus,CM,0
Aphodius haemorrhoidalis,CM,0
Onthophagus similis,CM,0
Ochlerotatus stimulans,CM,0
Caenorhabditis elegans,CM,0
Alphaproteobacteria,CM,0
Polydrusus inustus,CM,0
Solanum lycopersicum,CM,0
Bembidion varicolor,CM,0
Sophora,CM,0
Acacia koa,CM,0
Mycale grandis,CM,0
Solirubrobacter,CM,0
dinoflagellate metagenome,CM,0
invertebrate metagenome,CM,0
Bacteriastrum furcatum,CM,0
Litoditis marina,CM,0
Enterovirus D68,CM,0
urogenital metagenome,CM,0
Phormia,CM,0
Heptageniidae environmental sample,CM,0
Paederidus ruficollis,CM,0
Aphodius pusillus,CM,0
hospital metagenome,CM,15.8730158730159
dust metagenome,CM,0
beetle metagenome,CM,0.305810397553517
urban metagenome,CM,0
Brassica rapa var. Rapa,CM,0
Paederidus rubrothoracicus,CM,0
Oncorhynchus keta,CM,0
Trachemys scripta,CM,0
Gaiella,CM,0
Haliangium,CM,0
Lucilia,CM,0
Rotavirus A,CM,0
human nasopharyngeal metagenome,CM,1.52184585174276
Lactobacillus acidifarinae,CM,0
Tripneustes gratilla,CM,3.84615384615385
air metagenome,CM,0
zebrafish metagenome,CM,0
Daucus carota,CM,0
Cheilotoma musciformis,CM,0
Helicobacter pylori,CM,0
mine tailings metagenome,CM,0
1214906,CM,4.87804878048781
insect environmental sample,CM,0
Carica papaya,CM,0
Brassica oleracea var. botrytis,CM,0
Chamaecrista,CM,0
fish metagenome,CM,0
Aedes albopictus,CM,0
human skin metagenome,CM,2.68933539412674
Subpsaltria yangi,CM,0
Brassica napus var. Napus,CM,0
Anas platyrhynchos,CM,0
Brassica oleracea var. capitata,CM,0
Aphis gossypii,CM,0
Crioceris quatuordecimpunctata,CM,0
Diplotaxis tenuifolia,CM,0
Paederus riparius,CM,0
Onthophagus ovatus,CM,0
Aphodius sphacelatus,CM,0
Norovirus 02/2010/Nanjing,CM,0
Onthophagus taurus,CM,0
Python regius,CM,0
unidentified virus,CM,2.5974025974026
Calliphora,CM,0
invertebrate gut metagenome,CM,0
Salmo salar,CM,0
Megaptera novaeangliae,CM,0
salt lake metagenome,CM,0
Calliphora terraenovae,CM,0
Saxifraga oppositifolia,CM,0
cave metagenome,CM,0
pig metagenome,CM,0
Brassica napus,CM,0
rock metagenome,CM,0
echinoderm metagenome,CM,0
coral metagenome,CM,0.143112701252236
Vitis vinifera,CM,0
enrichment culture,CM,0
honey metagenome,CM,0
human bile metagenome,CM,0
koala metagenome,CM,12.5
cetacean metagenome,CM,0
skin metagenome,CM,0
Lactobacillus,CM,0
Bactrocera dorsalis,CM,0
Cyprinus carpio,CM,1.96078431372549
shrimp gut metagenome,CM,2.32558139534884
milk metagenome,CM,0
Euprymna scolopes,CM,0
Sus scrofa,CM,0
Peromyscus leucopus,CM,2.04918032786885
human metagenome,CM,1.1590989265736
Rhipicephalus sanguineus,CM,0
Rhizoctonia solani,CM,0
Hyphochytrium catenoides,CM,0
Paederus limnophilus,CM,0
alkali sediment metagenome,CM,0
urine metagenome,CM,0
respiratory tract metagenome,CM,0
Homo sapiens,CM,0.514808309611774
Littoraria irrorata,CM,0
aerosol metagenome,CM,2.32558139534884
insect metagenome,CM,0
Crassostrea gigas,CM,0.94017094017094
clinical metagenome,CM,0
fish gut metagenome,CM,0
indoor metagenome,CM,0.417246175243394
beach sand metagenome,CM,0
Dermacentor andersoni,CM,0
rumen bacterium 1/9293-11A,CM,0
annelid metagenome,CM,0
Drosophila simulans,CM,4
Oncorhynchus mykiss,CM,0
408170,CM,0
upper respiratory tract metagenome,CM,0
Phaseolus vulgaris,CM,0
mosquito metagenome,CM,0
Bombus terrestris,CM,0
plastic metagenome,CM,0
Bos grunniens,CM,0
Reticulitermes flavipes,CM,0
phyllosphere metagenome,CM,0.188501413760603
Proteobacteria,CM,0
Drosophila melanogaster,CM,0
symbiont metagenome,CM,0
Pristionchus pacificus,CM,0
ant metagenome,CM,0
oil field metagenome,CM,0
Hirundo rustica,CM,0
tick metagenome,CM,0
floral nectar metagenome,CM,0
uncultured bacterium,CM,0.969227041434456
amplicon sequences,CM,0
Sparus aurata,CM,0
marine sediment metagenome,CM,0.123304562268804
seagrass metagenome,CM,0
root metagenome,CM,0.0494071146245059
metagenomes,CM,0
metagenome,CM,0.246913580246914
crustacean metagenome,CM,0
16S rRNA gene amplicons,CM,0
Fungia,CM,0
glacier metagenome,CM,0
Bacteria,CM,0
frog metagenome,CM,0
insect gut metagenome,CM,0
Oscheius brevesophaga,CM,0
mouse metagenome,CM,0.584036340038936
bird metagenome,CM,0
biofilter metagenome,CM,0
Ixodes scapularis,CM,0
coral reef metagenome,CM,0
unclassified sequences,CM,0
hot springs metagenome,CM,0
Ascomycota,CM,0
human gut metagenome,CM,0.0167208102426906
ice metagenome,CM,0
groundwater metagenome,CM,0
bacterial mixed DNA library,CM,0
solid waste metagenome,CM,0
outdoor metagenome,CM,0
crab metagenome,CM,0
freshwater metagenome,CM,0.0616734050572192
plastisphere metagenome,CM,0
human lung metagenome,CM,0.408163265306122
Mus musculus domesticus,CM,0
Struthio camelus,CM,0
plant metagenome,CM,0.00826377985290472
aquatic metagenome,CM,0.142952444486801
nematode metagenome,CM,0
Porites lobata,CM,0
Porites rus,CM,0
Glycine max,CM,0
bovine metagenome,CM,0
mollusc metagenome,CM,0
primate metagenome,CM,0
terrestrial metagenome,CM,0.112739571589628
Musca domestica,CM,0
32644,CM,0
Bacteria bahiensis,CM,0
lake water metagenome,CM,0.161030595813205
Copepoda environmental sample,CM,0
gut metagenome,CM,0.0284609728909233
algae metagenome,CM,0.435413642960813
vaginal metagenome,CM,0
Sus scrofa domesticus,CM,0
human blood metagenome,CM,0
lung metagenome,CM,0.31496062992126
marine metagenome,CM,0.0507505742828143
fermentation metagenome,CM,0
Bacteria abnormis,CM,0
ant fungus garden metagenome,CM,0
uncultured prokaryote,CM,0
silage metagenome,CM,0
oral metagenome,CM,0
snow metagenome,CM,0
soil metagenome,CM,0.0280277327039386
Firmicutes bacterium,CM,0
environmental samples,CM,0
Bacteria acuminatocercata,CM,0
stomach metagenome,CM,0
synthetic metagenome,CM,0
sediment metagenome,CM,0
food fermentation metagenome,CM,0
termite gut metagenome,CM,0.645161290322581
Equus caballus,CM,0.274725274725275
cow dung metagenome,CM,0
seawater metagenome,CM,0.062015503875969
uncultured organism,CM,0
organismal metagenomes,CM,0
mixed sample,CM,0
Oreochromis niloticus,CM,0
unclassified Bacteria (miscellaneous),CM,0
unidentified,CM,0
Macaca mulatta,CM,0
feces metagenome,CM,0
wastewater metagenome,CM,0.0365230094959825
Coturnix japonica,CM,0
eye metagenome,CM,0
Jasus edwardsii,CM,0
fungus metagenome,CM,0
pig gut metagenome,CM,0.112485939257593
Canis lupus familiaris,CM,0.757575757575758
activated sludge metagenome,CM,0.0351370344342937
human oral metagenome,CM,0.0454959053685168
Oryctes borbonicus,CM,0
Mus musculus,CM,0.287098510676476
rhizosphere metagenome,CM,0
human vaginal metagenome,CM,0
hydrothermal vent metagenome,CM,0
food metagenome,CM,0.283152430391694
Bacteria ambigua,CM,0
bacterium,CM,0
compost metagenome,CM,0
unidentified bacterium,CM,0
sea squirt metagenome,CM,0
oyster metagenome,CM,0.313479623824451
biofilm metagenome,CM,0
sponge metagenome,CM,0
whole organism metagenome,CM,0
homo sapien,CM,0
Solanum tuberosum,CM,0
mouse skin metagenome,CM,0.291970802919708
Gulosus aristotelis,CM,0
rat gut metagenome,CM,0.070323488045007
endophyte metagenome,CM,0.0449943757030371
food production metagenome,CM,0
Teleogryllus oceanicus,CM,0
Boechera stricta,CM,0
leaf metagenome,CM,0
human tracheal metagenome,CM,0.961538461538462
Gallus gallus,CM,0.0886524822695036
human reproductive system metagenome,CM,0
Bos taurus,CM,0
freshwater sediment metagenome,CM,0
hydrocarbon metagenome,CM,0.171232876712329
Arabidopsis thaliana,CM,0
9606,CM,0
sludge metagenome,CM,0
mixed culture,CM,0
chicken gut metagenome,CM,0.0554016620498615
soil crust metagenome,CM,0
bovine gut metagenome,CM,0.0100928542591845
subsurface metagenome,CM,0
honeybee metagenome,CM,0
unidentified prokaryotic organism,CM,0
Ovis aries,CM,0
Bacteria aborigena,CM,0
Methanobacterium beijingense,CM,0
mouse gut metagenome,CM,0.0152261076993351
pond metagenome,CM,0
riverine metagenome,CM,0
microbial mat metagenome,CM,0
bioreactor sludge metagenome,CM,0
estuary metagenome,CM,0
bioreactor metagenome,CM,0
mixed culture metagenome,CM,0
anaerobic digester metagenome,CM,0
aquifer metagenome,CM,0
1297885,CM,0
Triticum aestivum,CM,0
Rattus norvegicus,CM,0
leaf litter metagenome,CM,0
uncultured eukaryote,CM,0
Meleagris gallopavo,CM,1.47058823529412
Mycobacterium tuberculosis,CM,3.125
Pocillopora eydouxi,CM,3.33333333333333
Haploposthia lactomaculata,CM,7.69230769230769
Litopenaeus vannamei,CM,100
